ID,Name,Height,Weight,Age,Sex,Profession
298,Зыков Герман,193.0,118.0,55,м,преподаватель
299,Волков Константин,180.0,113.0,41,м,преподаватель
300,Игнатов Леонид,183.0,66.0,55,м,инженер
301,Сазонов Фёдор,175.0,102.0,76,м,бухгалтер
302,Михайлов Фома,174.0,103.0,55,м,бухгалтер
303,Николаев Всеволод,185.0,68.0,73,м,программист
304,Лапин Дмитрий,185.0,102.0,81,м,сантехник
305,Горбунов Эрик,170.0,90.0,79,м,бухгалтер
306,Сергеев Парамон,184.0,99.0,18,м,преподаватель
307,Жданов Анисий,190.0,117.0,56,м,сантехник
308,Терентьев Руслан,174.0,72.0,22,м,бухгалтер
309,Пахомов Авраам,188.0,116.0,84,м,инженер
310,Соловьёв Вольдемар,172.0,71.0,58,м,автослесарь
311,Ковалёв Анастасий,192.0,57.0,78,м,программист
312,Якушев Игнатий,185.0,64.0,54,м,студент
313,Белоусов Илларион,185.0,108.0,23,м,бухгалтер
314,Лукин Серафим,176.0,103.0,27,м,инженер
315,Куликов Потап,173.0,91.0,19,м,врач
316,Блохин Александр,190.0,117.0,65,м,инженер
317,Фролов Пётр,167.0,104.0,86,м,продавец
318,Рябов Эльдар,171.0,58.0,78,м,студент
319,Носков Радослав,,92.0,26,м,сантехник
320,Харитонов Архип,170.0,99.0,38,м,преподаватель
321,Рыбаков Тарас,173.0,,83,м,студент
322,Шестаков Арсений,189.0,113.0,57,м,сантехник
323,Лобанов Вилен,180.0,98.0,83,м,врач
324,Галкин Аристарх,174.0,,63,м,сантехник
325,Никифоров Архип,167.0,98.0,59,м,инженер
326,Кудрявцев Наум,190.0,,87,м,сантехник
327,Ларионов Никанор,189.0,78.0,35,м,продавец
328,Никифоров Тимофей,168.0,108.0,62,м,автослесарь
329,Калашников Гавриил,181.0,53.0,30,м,студент
330,Марков Кирилл,168.0,115.0,50,м,преподаватель
331,Мельников Артём,167.0,118.0,41,м,преподаватель
332,Сысоев Геннадий,,62.0,56,м,преподаватель
333,Исаков Кирилл,,119.0,45,м,сантехник
334,Смирнов Кир,177.0,84.0,88,м,программист
335,Суханов Владислав,173.0,76.0,37,м,студент
336,Быков Макар,175.0,79.0,54,м,студент
337,Осипов Добрыня,179.0,102.0,82,м,инженер
338,Гурьев Никола,182.0,102.0,48,м,автослесарь
339,Соболев Тимур,177.0,112.0,29,м,преподаватель
340,Комиссаров Руслан,184.0,114.0,49,м,преподаватель
341,Мамонтов Игнатий,170.0,108.0,59,м,продавец
342,Владимиров Рустам,183.0,78.0,88,м,продавец
343,Мамонтов Болеслав,175.0,81.0,87,м,инженер
344,Стрелков Степан,191.0,77.0,77,м,студент
345,Силин Харитон,186.0,112.0,47,м,студент
346,Гришин Серафим,169.0,67.0,64,м,автослесарь
347,Лобанов Виссарион,166.0,83.0,42,м,врач
348,Назаров Осип,187.0,91.0,42,м,инженер
349,Кулагин Радослав,172.0,68.0,62,м,студент
350,Михайлов Николай,188.0,85.0,77,м,продавец
351,Самойлов Аким,188.0,50.0,86,м,сантехник
352,Веселов Игнат,170.0,,79,м,бухгалтер
353,Носов Остап,189.0,,74,м,преподаватель
354,Комиссаров Климент,179.0,98.0,30,м,преподаватель
355,Исаков Остап,178.0,62.0,62,м,программист
356,Прохоров Фома,,93.0,79,м,преподаватель
357,Никонов Чарли,167.0,59.0,83,м,сантехник
358,Никонов Макарий,189.0,106.0,66,м,студент
359,Силин Трофим,191.0,116.0,34,м,сантехник
360,Мартынов Иван,182.0,,45,м,инженер
361,Давыдов Вадим,176.0,84.0,61,м,инженер
362,Мышкин Фома,,85.0,78,м,студент
363,Гурьев Трофим,194.0,115.0,51,м,сантехник
364,Петров Викентий,,83.0,22,м,врач
365,Зиновьев Вениамин,190.0,81.0,85,м,программист
366,Панфилов Леонтий,183.0,101.0,68,м,врач
367,Блохин Аристарх,173.0,105.0,70,м,преподаватель
368,Абрамов Владимир,169.0,83.0,60,м,программист
369,Шаров Евдоким,175.0,86.0,44,м,преподаватель
370,Матвеев Олег,175.0,71.0,57,м,сантехник
371,Логинов Георгий,193.0,73.0,71,м,студент
372,Журавлёв Парамон,192.0,59.0,64,м,автослесарь
373,Крылов Семен,174.0,106.0,80,м,автослесарь
374,Романов Савелий,191.0,96.0,67,м,программист
375,Пономарёв Тихон,166.0,72.0,63,м,врач
376,Фокин Кир,173.0,90.0,76,м,сантехник
377,Сысоев Иероним,175.0,66.0,62,м,преподаватель
378,Туров Гордей,178.0,102.0,79,м,студент
379,Гурьев Вольдемар,175.0,95.0,40,м,автослесарь
380,Михеев Никанор,191.0,84.0,31,м,врач
381,Маслов Юлий,188.0,118.0,35,м,автослесарь
382,Крюков Даниил,167.0,84.0,20,м,автослесарь
383,Калашников Игнат,178.0,101.0,19,м,студент
384,Самсонов Лев,194.0,74.0,36,м,врач
385,Селиверстов Кир,180.0,67.0,27,м,бухгалтер
386,Новиков Гавриил,194.0,71.0,37,м,автослесарь
387,Ларионов Иеремия,175.0,73.0,61,м,сантехник
388,Максимов Святослав,165.0,110.0,35,м,бухгалтер
389,Федотов Руслан,190.0,119.0,87,м,продавец
390,Никитин Андрей,194.0,97.0,69,м,бухгалтер
391,Носов Денис,175.0,103.0,86,м,автослесарь
392,Максимов Николай,186.0,,61,м,автослесарь
393,Сергеев Аполлон,177.0,81.0,72,м,продавец
394,Горбачёв Анисий,171.0,72.0,68,м,преподаватель
395,Макаров Олег,179.0,110.0,51,м,автослесарь
396,Поляков Евгений,190.0,74.0,35,м,преподаватель
397,Павлов Рустам,182.0,87.0,82,м,автослесарь
398,Колобов Аркадий,186.0,53.0,38,м,инженер
399,Кириллов Арсентий,175.0,50.0,79,м,сантехник
400,Евдокимов Агафон,182.0,98.0,77,м,врач
401,Мышкин Кирилл,,106.0,83,м,автослесарь
402,Князев Роман,183.0,66.0,21,м,продавец
403,Савельев Осип,168.0,66.0,76,м,программист
404,Рябов Мартын,166.0,77.0,89,м,студент
405,Хохлов Спартак,188.0,78.0,33,м,бухгалтер
406,Гущин Анатолий,175.0,100.0,26,м,преподаватель
407,Федотов Ринат,170.0,50.0,49,м,инженер
408,Воронов Тарас,192.0,,67,м,инженер
409,Большаков Юлий,180.0,104.0,36,м,сантехник
410,Суворов Мартин,187.0,116.0,27,м,врач
411,Одинцов Артём,189.0,,77,м,сантехник
412,Мышкин Григорий,189.0,58.0,71,м,автослесарь
413,Калинин Макар,174.0,96.0,37,м,студент
414,Петров Анастасий,165.0,97.0,18,м,сантехник
415,Киселёв Савелий,178.0,116.0,68,м,продавец
416,Фомин Еремей,168.0,69.0,25,м,студент
417,Рыбаков Захар,190.0,71.0,42,м,программист
418,Артемьев Арсентий,176.0,110.0,81,м,программист
419,Жуков Виктор,179.0,85.0,52,м,продавец
420,Белозёров Парамон,194.0,78.0,20,м,студент
421,Виноградов Мартын,184.0,115.0,43,м,продавец
422,Устинов Авраам,180.0,60.0,83,м,программист
423,Давыдов Даниил,191.0,104.0,51,м,врач
424,Абрамов Федот,172.0,58.0,31,м,программист
425,Аксёнов Тихон,172.0,97.0,65,м,инженер
426,Некрасов Аристарх,190.0,84.0,64,м,преподаватель
427,Савельев Геннадий,167.0,94.0,58,м,инженер
428,Киселёв Радик,193.0,110.0,34,м,преподаватель
429,Калинин Эльдар,192.0,70.0,58,м,преподаватель
430,Корнилов Артур,167.0,56.0,30,м,студент
431,Соболев Фома,186.0,55.0,46,м,программист
432,Семёнов Кирилл,167.0,67.0,71,м,автослесарь
433,Шилов Данил,191.0,106.0,23,м,сантехник
434,Цветков Ренат,181.0,108.0,20,м,студент
435,Денисов Добрыня,,82.0,52,м,врач
436,Колесников Яромир,170.0,74.0,88,м,автослесарь
437,Романов Ефрем,188.0,108.0,79,м,инженер
438,Елисеев Виссарион,182.0,71.0,40,м,врач
439,Щукин Ефим,185.0,98.0,60,м,преподаватель
440,Силин Борис,193.0,107.0,39,м,инженер
441,Колобов Демьян,190.0,59.0,22,м,программист
442,Красильников Авраам,175.0,78.0,71,м,автослесарь
443,Дементьев Зиновий,193.0,66.0,19,м,автослесарь
444,Беспалов Никифор,183.0,92.0,54,м,продавец
445,Медведев Кир,183.0,61.0,36,м,сантехник
446,Суханов Августин,193.0,65.0,74,м,преподаватель
447,Александров Олег,178.0,96.0,43,м,студент
448,Афанасьев Руслан,169.0,85.0,79,м,сантехник
449,Цветков Анатолий,175.0,111.0,50,м,автослесарь
450,Лебедев Георгий,182.0,70.0,79,м,врач
451,Колобов Данислав,179.0,87.0,34,м,преподаватель
452,Копылов Артемий,169.0,57.0,36,м,программист
453,Тарасов Роман,177.0,78.0,54,м,бухгалтер
454,Мамонтов Флор,179.0,57.0,25,м,студент
455,Ковалёв Антон,178.0,72.0,20,м,сантехник
456,Тимофеев Герасим,171.0,70.0,61,м,преподаватель
457,Яковлев Герман,181.0,113.0,57,м,врач
458,Субботин Рустам,183.0,117.0,62,м,студент
459,Панфилов Харитон,191.0,110.0,19,м,сантехник
460,Трофимов Федот,190.0,78.0,60,м,инженер
461,Сидоров Марат,193.0,55.0,89,м,продавец
462,Архипов Никодим,181.0,64.0,64,м,инженер
463,Брагин Георгий,184.0,79.0,75,м,преподаватель
464,Горбачёв Данил,167.0,50.0,86,м,врач
465,Кириллов Мартин,191.0,61.0,62,м,продавец
466,Михеев Климент,182.0,86.0,52,м,врач
467,Медведев Юрий,173.0,,18,м,бухгалтер
468,Красильников Всеволод,165.0,71.0,34,м,врач
469,Щербаков Мирослав,185.0,53.0,82,м,студент
470,Беляков Добрыня,190.0,90.0,55,м,студент
471,Сафонов Анисий,172.0,105.0,78,м,программист
472,Филиппов Владимир,173.0,95.0,25,м,автослесарь
473,Коновалов Вилен,176.0,116.0,37,м,продавец
474,Гусев Иннокентий,,113.0,51,м,преподаватель
475,Егоров Матвей,166.0,71.0,80,м,инженер
476,Котов Вячеслав,189.0,51.0,83,м,студент
477,Мышкин Ефрем,167.0,53.0,31,м,программист
478,Цветков Серафим,174.0,53.0,68,м,продавец
479,Веселов Потап,175.0,80.0,58,м,инженер
480,Фадеев Вольдемар,165.0,68.0,74,м,студент
481,Фадеев Игорь,165.0,101.0,66,м,автослесарь
482,Родионов Добрыня,172.0,113.0,60,м,инженер
483,Ефимов Борис,186.0,71.0,78,м,сантехник
484,Ефимов Спартак,178.0,82.0,78,м,инженер
485,Шестаков Рустам,165.0,108.0,72,м,бухгалтер
486,Симонов Вилен,,55.0,31,м,автослесарь
487,Горшков Арсений,173.0,78.0,85,м,автослесарь
488,Тарасов Августин,165.0,60.0,61,м,бухгалтер
489,Дьячков Радомир,181.0,81.0,27,м,сантехник
490,Емельянов Трофим,182.0,95.0,60,м,сантехник
491,Быков Кузьма,191.0,56.0,32,м,инженер
492,Осипов Иероним,181.0,,38,м,инженер
493,Никонов Кир,187.0,65.0,72,м,инженер
494,Комиссаров Никифор,185.0,82.0,65,м,продавец
495,Кузьмин Макар,166.0,74.0,46,м,врач
496,Беляков Спартак,181.0,103.0,71,м,сантехник
497,Титов Никола,168.0,76.0,39,м,преподаватель
498,Носов Макар,184.0,71.0,67,м,преподаватель
499,Русаков Август,,89.0,78,м,программист
500,Орехов Денис,185.0,105.0,45,м,продавец
